row_id,sentiment_text,ground_truth,final_text_original,bing_liu_sentiment,bing_liu_sentiment_score,bing_liu_sentiment_confidence,swn_sentiment
0,"#Belgium #operationepicfailure #iran #iranwar #gaza #israel #netanyahu #taco Belgium also says no to Trump’s war, that is besides Spain , some other countries that sound reluctant to join this stupid war are Italy , Germany and France, these last three have not decided yet but they know the consequences, a terrorist attack and a massive exodus of Middle Eastern refugees to Europe.https://substack.com/@rawstory/note/c-224459229?r=17qxua&amp;utm_medium=ios&amp;utm_source=notes-share-action",negative,"#belgium #operationepicfailure #iran #iranwar #gaza #israel #netanyahu #taco belgium also says no to trump’s war, that is besides spain , some other countries that sound reluctant to join this stupid war are italy , germany and france, these last three have not decided yet but they know the consequences, a terrorist attack and a massive exodus of middle eastern refugees to europe.",negative,-1.0,1.0,Neutral
1,&quot;Massive war price tag could be a massive problem for GOP leaders. The prospect of a ballooning new spending bill has GOP leaders bracing for a messy internal fight&quot;: https://www.politico.com/news/2026/03/06/iran-war-cost-congress-republicans-00816079 #politics #IranWar,negative,&quot;massive war price tag could be a massive problem for gop leaders. the prospect of a ballooning new spending bill has gop leaders bracing for a messy internal fight&quot;: #politics #iranwar,negative,-1.0,1.0,Negative
2,"You, @noncompliant, wrote: &quot;American soldiers are killing innocent women and children and I&#39;m suppose to be opposed to Russia helping Iran fight the most evil shit on the planet&quot;Yes, the most evil shit on the planet is what Russia is doing in Ukraine, now and for more than four years in a genocidal war. As many people know, Trump is #PutinsPuppet. What Trump is doing in the #IranWar helps Russia (by increasing oil prices and wasting American missiles). Both of those results also harm Americans.",negative,"you, @noncompliant, wrote: &quot;american soldiers are killing innocent women and children and i&#39;m suppose to be opposed to russia helping iran fight the most evil shit on the planet&quot;yes, the most evil shit on the planet is what russia is doing in ukraine, now and for more than four years in a genocidal war. as many people know, trump is #putinspuppet. what trump is doing in the #iranwar helps russia (by increasing oil prices and wasting american missiles). both of those results also harm americans.",negative,-0.4,0.4,Neutral
3,NOW ON VERDANT SQUARE RADIO == NOW PLAYING == #GreenSocialist Notes with Howie Hawkins Episode 268  3/7/26 https://www.youtube.com/watch?v=YO8MhYK7GkE  #news #uspol #GreenParty #leftist #revolution #left #green  #socialist #anticapitalist #vsn #radio #HowieHawkins #geopolitics #antiimperialism #antifascist #iran #iranwar #ecuador #oil #indigenous #drugwar #colombia #bolivia #russia #palestine #gaza  #israel #genocide https://mastodon.social/@VerdantSquareRadio/116189906452202574,neutral,now on verdant square radio == now playing == #greensocialist notes with howie hawkins episode 268 3/7/26 #news #uspol #greenparty #leftist #revolution #left #green #socialist #anticapitalist #vsn #radio #howiehawkins #geopolitics #antiimperialism #antifascist #iran #iranwar #ecuador #oil #indigenous #drugwar #colombia #bolivia #russia #palestine #gaza #israel #genocide,negative,-1.0,1.0,Neutral
4,"&quot;One gets away with doing reckless, stupid things—like attacking Iran without a plan—-until the moment one doesn’t&quot;: https://www.lawfaremedia.org/article/the-situation--the-base-jumping-presidency Discussing the good and the bad things about the #IranWar as of today. #planning #luck #RunningOutOfLuck copy: @renewedresistance #politics",negative,"&quot;one gets away with doing reckless, stupid things—like attacking iran without a plan—-until the moment one doesn’t&quot;: discussing the good and the bad things about the #iranwar as of today. #planning #luck #runningoutofluck copy: @renewedresistance #politics",neutral,0.0,1.0,Negative
5,Peace Prize Pedo President is poised to push paratroopers into Persia.Perfect.#IranWar,neutral,peace prize pedo president is poised to push paratroopers into persia.perfect.#iranwar,positive,1.0,1.0,Neutral
6,#SEVENTEEN #IranIsraelWar #Trump #TrumpEpsteinFiles #Iran #IranWar #IranIsraelWar #draft,neutral,#seventeen #iranisraelwar #trump #trumpepsteinfiles #iran #iranwar #iranisraelwar #draft,positive,1.0,1.0,Neutral
7,Man killed by falling debris after drone hits Dubai’s 23 Marina tower  https://fed.brid.gy/r/https://metro.co.uk/2026/03/07/man-dies-debris-drone-interception-hits-dubais-23-marina-tower-27289204/,negative,man killed by falling debris after drone hits dubai’s 23 marina tower,negative,-1.0,1.0,Negative
8,Thousands protest against strikes on Iran at US Embassy in London  https://fed.brid.gy/r/https://metro.co.uk/2026/03/07/thousands-protest-strikes-iran-us-embassy-london-27288490/,negative,thousands protest against strikes on iran at us embassy in london,negative,-1.0,1.0,Neutral
9,"Trump’s White House Posts Fascist Memes As It Wrecks the Economy - “…the United States has now fully entered the “Drive-By Shooting Era” of US foreign policy. The Trump-Vance administration’s actions around the globe don’t feel like those of a functioning government in a healthy democracy, but rather those of addled suburban teens playing ‘Grand Theft Auto: Vice City,’ or “GTA,” cackling hysterically and chugging gallons of Pepsi as they mow down stretches of civilians…” https://zeteo.com/p/trump-iran-war-grand-theft-auto-memes #IranWar #ForeignPolicy #TrumpRegime #Trump #Republicans #RepublicansDidThis",negative,"trump’s white house posts fascist memes as it wrecks the economy - “…the united states has now fully entered the “drive-by shooting era” of us foreign policy. the trump-vance administration’s actions around the globe don’t feel like those of a functioning government in a healthy democracy, but rather those of addled suburban teens playing ‘grand theft auto: vice city,’ or “gta,” cackling hysterically and chugging gallons of pepsi as they mow down stretches of civilians…” #iranwar #foreignpolicy #trumpregime #trump #republicans #republicansdidthis",neutral,0.0,1.0,Neutral
10,"RT: @dimitrilascaris Today in Toronto, I asked pro-Trump Iranians whether it bothered them that the U.S. military massacred more than 100 school-girls in Iran.This is what happened.#IranWar #Toronto",neutral,"rt: @dimitrilascaris today in toronto, i asked pro-trump iranians whether it bothered them that the u.s. military massacred more than 100 school-girls in iran.this is what happened.#iranwar #toronto",neutral,0.0,1.0,Neutral
11,"It feels almost like March 2020, with one bad news after another. #IranWar",negative,"it feels almost like march 2020, with one bad news after another. #iranwar",neutral,0.0,1.0,Negative
12,"RE: https://fediscience.org/@petergleick/116189321935915921There's been a bit of this already, including Russian attacks on Ukraine. USA doing it now too. This is very bad and of course criminal.#USpol #IranWar",negative,"re: been a bit of this already, including russian attacks on ukraine. usa doing it now too. this is very bad and of course criminal.#uspol #iranwar",negative,-1.0,1.0,Neutral
13,Pressure on the Gulf states’ budgets could lead them to reassess their overseas investments and future commitments as they consider options to alleviate the financial strain caused by the US-Israeli war against Iran.https://www.dawn.com/news/1979302/gulf-countries-reviewing-us-investments-amid-iran-war#news #worldnews #iran #iranwar #usa,neutral,pressure on the gulf states’ budgets could lead them to reassess their overseas investments and future commitments as they consider options to alleviate the financial strain caused by the us-israeli war against iran. #worldnews #iran #iranwar #usa,neutral,0.0,1.0,Neutral
14,Iran weakens faster than expected as US-Israel air campaign peaks  https://fed.brid.gy/r/https://www.israelhayom.com/2026/03/07/iran-weakens-faster-than-expected-as-us-israel-air-campaign-peaks/,negative,iran weakens faster than expected as us-israel air campaign peaks,positive,1.0,1.0,Neutral
15,Who really runs Iran?  https://fed.brid.gy/r/https://www.israelhayom.com/2026/03/07/who-really-runs-iran-pezeshkians-humiliation-reveals-revolutionary-guards-power/,neutral,who really runs iran?,neutral,0.0,0.0,Positive
16,@thetnholler.bsky.social If my toddler acted like this they would go into a time out. What an awful POS human. #embarrassing #uspolitics #IranWar,negative,@thetnholler.bsky.social if my toddler acted like this they would go into a time out. what an awful pos human. #embarrassing #uspolitics #iranwar,negative,-0.3333333333333333,0.3333333333333333,Neutral
17,"""This is the first war since the Second World War that is directly impacting cities that we can consider hubs in the #globalEconomy."" #AmericanPrestige pod welcomes #EsfandyarBatmanghelidj to discuss the economic consequences of #Trump's #warOnIran https://americanprestigepod.com/episodes/5052012542 #Iran #IranWar #USpol #USforeignPolicy #USMiddleEastPolicy #régimeChangeWars #GulfStates #MiddleEast",neutral,"""this is the first war since the second world war that is directly impacting cities that we can consider hubs in the #globaleconomy."" #americanprestige pod welcomes #esfandyarbatmanghelidj to discuss the economic consequences of #trump's #waroniran #iran #iranwar #uspol #usforeignpolicy #usmiddleeastpolicy #régimechangewars #gulfstates #middleeast",positive,1.0,1.0,Neutral
18,"With the bombing of the school and now this, the justification excuse of helping the people the FOTUS’s regime has used for attacking Iran is out the window. #USpol #IranWar “The Iranian Foreign Minister is claiming that the Epstein regime has just attacked a DESALINATION PLANT in Iran. If Iran responds in kind, the Middle East could become uninhabitable as there’s not enough fresh water for the populations to survive without their vulnerable desalination plants.” - The Resistance",neutral,"with the bombing of the school and now this, the justification excuse of helping the people the fotus’s regime has used for attacking iran is out the window. #uspol #iranwar “the iranian foreign minister is claiming that the epstein regime has just attacked a desalination plant in iran. if iran responds in kind, the middle east could become uninhabitable as there’s not enough fresh water for the populations to survive without their vulnerable desalination plants.” - the resistance",negative,-0.3333333333333333,0.3333333333333333,Neutral
