row_id,sentiment_text,ground_truth,final_text_style_b,swn_sentiment
0,"#Belgium #operationepicfailure #iran #iranwar #gaza #israel #netanyahu #taco Belgium also says no to Trump’s war, that is besides Spain , some other countries that sound reluctant to join this stupid war are Italy , Germany and France, these last three have not decided yet but they know the consequences, a terrorist attack and a massive exodus of Middle Eastern refugees to Europe.https://substack.com/@rawstory/note/c-224459229?r=17qxua&amp;utm_medium=ios&amp;utm_source=notes-share-action",negative,belgium also say no to trump war that be besides spain some other country that sound reluctant to join this stupid war be italy germany and france these last three have not decide yet but they know the consequence a terrorist attack and a massive exodus of middle eastern refugee to europehttpssubstackcomnotecrqxuaamputm_mediumiosamputm_sourcenotesshareaction,Neutral
1,&quot;Massive war price tag could be a massive problem for GOP leaders. The prospect of a ballooning new spending bill has GOP leaders bracing for a messy internal fight&quot;: https://www.politico.com/news/2026/03/06/iran-war-cost-congress-republicans-00816079 #politics #IranWar,negative,massive war price tag could be a massive problem for gop leader the prospect of a ballooning new spending bill have gop leader brace for a messy internal fight httpswwwpoliticocomnewsiranwarcostcongressrepublicans,Negative
2,"You, @noncompliant, wrote: &quot;American soldiers are killing innocent women and children and I&#39;m suppose to be opposed to Russia helping Iran fight the most evil shit on the planet&quot;Yes, the most evil shit on the planet is what Russia is doing in Ukraine, now and for more than four years in a genocidal war. As many people know, Trump is #PutinsPuppet. What Trump is doing in the #IranWar helps Russia (by increasing oil prices and wasting American missiles). Both of those results also harm Americans.",negative,you write american soldier be kill innocent woman and child and im suppose to be oppose to russia help iran fight the most evil shit on the planetyes the most evil shit on the planet be what russia be do in ukraine now and for more than four year in a genocidal war a many people know trump be what trump be do in the help russia by increase oil price and waste american missile both of those result also harm american,Neutral
3,NOW ON VERDANT SQUARE RADIO == NOW PLAYING == #GreenSocialist Notes with Howie Hawkins Episode 268  3/7/26 https://www.youtube.com/watch?v=YO8MhYK7GkE  #news #uspol #GreenParty #leftist #revolution #left #green  #socialist #anticapitalist #vsn #radio #HowieHawkins #geopolitics #antiimperialism #antifascist #iran #iranwar #ecuador #oil #indigenous #drugwar #colombia #bolivia #russia #palestine #gaza  #israel #genocide https://mastodon.social/@VerdantSquareRadio/116189906452202574,neutral,now on verdant square radio now play note with howie hawkins episode httpswwwyoutubecomwatchvyomhykgke httpsmastodonsocial,Neutral
4,"&quot;One gets away with doing reckless, stupid things—like attacking Iran without a plan—-until the moment one doesn’t&quot;: https://www.lawfaremedia.org/article/the-situation--the-base-jumping-presidency Discussing the good and the bad things about the #IranWar as of today. #planning #luck #RunningOutOfLuck copy: @renewedresistance #politics",negative,one get away with do reckless stupid thingslike attack iran without a planuntil the moment one doesnt httpswwwlawfaremediaorgarticlethesituationthebasejumpingpresidency discuss the good and the bad thing about the a of today copy,Negative
5,Peace Prize Pedo President is poised to push paratroopers into Persia.Perfect.#IranWar,neutral,peace prize pedo president be poise to push paratrooper into persiaperfect,Neutral
7,Man killed by falling debris after drone hits Dubai’s 23 Marina tower  https://fed.brid.gy/r/https://metro.co.uk/2026/03/07/man-dies-debris-drone-interception-hits-dubais-23-marina-tower-27289204/,negative,man kill by fall debris after drone hit dubais marina tower httpsfedbridgyrhttpsmetrocoukmandiesdebrisdroneinterceptionhitsdubaismarinatower,Negative
8,Thousands protest against strikes on Iran at US Embassy in London  https://fed.brid.gy/r/https://metro.co.uk/2026/03/07/thousands-protest-strikes-iran-us-embassy-london-27288490/,negative,thousand protest against strike on iran at u embassy in london httpsfedbridgyrhttpsmetrocoukthousandsproteststrikesiranusembassylondon,Neutral
9,"Trump’s White House Posts Fascist Memes As It Wrecks the Economy - “…the United States has now fully entered the “Drive-By Shooting Era” of US foreign policy. The Trump-Vance administration’s actions around the globe don’t feel like those of a functioning government in a healthy democracy, but rather those of addled suburban teens playing ‘Grand Theft Auto: Vice City,’ or “GTA,” cackling hysterically and chugging gallons of Pepsi as they mow down stretches of civilians…” https://zeteo.com/p/trump-iran-war-grand-theft-auto-memes #IranWar #ForeignPolicy #TrumpRegime #Trump #Republicans #RepublicansDidThis",negative,trump white house post fascist memes a it wreck the economy the united state have now fully enter the driveby shoot era of u foreign policy the trumpvance administration action around the globe dont feel like those of a functioning government in a healthy democracy but rather those of addled suburban teen play grand theft auto vice city or gta cackle hysterically and chug gallon of pepsi a they mow down stretch of civilian httpszeteocomptrumpiranwargrandtheftautomemes,Neutral
10,"RT: @dimitrilascaris Today in Toronto, I asked pro-Trump Iranians whether it bothered them that the U.S. military massacred more than 100 school-girls in Iran.This is what happened.#IranWar #Toronto",neutral,rt today in toronto i ask protrump iranian whether it bother them that the u military massacre more than schoolgirl in iranthis be what happen,Negative
11,"It feels almost like March 2020, with one bad news after another. #IranWar",negative,it feel almost like march with one bad news after another,Negative
12,"RE: https://fediscience.org/@petergleick/116189321935915921There's been a bit of this already, including Russian attacks on Ukraine. USA doing it now too. This is very bad and of course criminal.#USpol #IranWar",negative,httpsfediscienceorgtheres be a bit of this already include russian attack on ukraine usa do it now too this be very bad and of course criminal,Negative
13,Pressure on the Gulf states’ budgets could lead them to reassess their overseas investments and future commitments as they consider options to alleviate the financial strain caused by the US-Israeli war against Iran.https://www.dawn.com/news/1979302/gulf-countries-reviewing-us-investments-amid-iran-war#news #worldnews #iran #iranwar #usa,neutral,pressure on the gulf state budget could lead them to reassess their overseas investment and future commitment a they consider option to alleviate the financial strain cause by the usisraeli war against iranhttpswwwdawncomnewsgulfcountriesreviewingusinvestmentsamidiranwar,Neutral
14,Iran weakens faster than expected as US-Israel air campaign peaks  https://fed.brid.gy/r/https://www.israelhayom.com/2026/03/07/iran-weakens-faster-than-expected-as-us-israel-air-campaign-peaks/,negative,iran weaken fast than expect a usisrael air campaign peak httpsfedbridgyrhttpswwwisraelhayomcomiranweakensfasterthanexpectedasusisraelaircampaignpeaks,Neutral
15,Who really runs Iran?  https://fed.brid.gy/r/https://www.israelhayom.com/2026/03/07/who-really-runs-iran-pezeshkians-humiliation-reveals-revolutionary-guards-power/,neutral,who really run iran httpsfedbridgyrhttpswwwisraelhayomcomwhoreallyrunsiranpezeshkianshumiliationrevealsrevolutionaryguardspower,Positive
16,@thetnholler.bsky.social If my toddler acted like this they would go into a time out. What an awful POS human. #embarrassing #uspolitics #IranWar,negative,bskysocial if my toddler act like this they would go into a time out what an awful po human,Neutral
