row_id,ground_truth,glove_000,glove_001,glove_002,glove_003,glove_004,glove_005,glove_006,glove_007,glove_008,glove_009,glove_010,glove_011,glove_012,glove_013,glove_014,glove_015,glove_016,glove_017,glove_018,glove_019,glove_020,glove_021,glove_022,glove_023,glove_024,glove_025,glove_026,glove_027,glove_028,glove_029,glove_030,glove_031,glove_032,glove_033,glove_034,glove_035,glove_036,glove_037,glove_038,glove_039,glove_040,glove_041,glove_042,glove_043,glove_044,glove_045,glove_046,glove_047,glove_048,glove_049,glove_050,glove_051,glove_052,glove_053,glove_054,glove_055,glove_056,glove_057,glove_058,glove_059,glove_060,glove_061,glove_062,glove_063,glove_064,glove_065,glove_066,glove_067,glove_068,glove_069,glove_070,glove_071,glove_072,glove_073,glove_074,glove_075,glove_076,glove_077,glove_078,glove_079,glove_080,glove_081,glove_082,glove_083,glove_084,glove_085,glove_086,glove_087,glove_088,glove_089,glove_090,glove_091,glove_092,glove_093,glove_094,glove_095,glove_096,glove_097,glove_098,glove_099
0,negative,0.02457583,0.2444721,0.3168407,-0.038368877,0.023694389,0.02726094,-0.2129446,0.05060847,0.14410025,0.02029384,0.043396853,0.015274023,-0.054056127,0.24142088,-0.053333692,-0.017274305,0.03837008,-0.23179728,-0.42437884,0.2953127,0.27058265,0.19248255,0.24276796,0.09562613,0.052745678,-0.32297784,-0.048903484,-0.19271067,0.3775975,-0.09063847,-0.15513402,0.046274215,-0.10367733,-0.12318671,0.18588535,0.058405854,0.21479516,0.0076846876,-0.15065983,-0.21538316,-0.52749586,-0.14288287,0.2969303,-0.15151262,0.1972132,-0.1458024,0.48401737,-0.04784475,0.005175626,-0.50036645,0.06013683,0.20835234,-0.04058746,0.81725913,-0.2501732,-1.8119676,-0.041161537,-0.13763548,1.1891464,0.47740376,0.008988391,0.4364047,-0.034964472,-0.2920578,0.64430207,0.09065276,-0.23389663,0.39780745,0.05593963,-0.057697743,0.12964608,-0.46012497,-0.38033608,-0.19875205,0.17175423,0.058128327,-0.10104022,-0.015247458,-0.6338983,0.088128924,0.65312904,-0.08396996,-0.33983845,0.15470062,-0.9495493,-0.20328829,-0.19441009,0.03410622,-0.19595066,-0.273125,-0.04432099,-0.061741684,-0.023024704,0.057539932,-0.43706328,0.17449215,-0.2399146,-0.03241784,0.35666257,0.0122176185
1,negative,-0.19263698,0.21357219,0.2812597,-0.33250248,0.06504317,-0.0719799,-0.2525831,-0.115390666,-0.07158123,0.104359604,0.059614964,0.104662694,-0.00487186,-0.11694346,-0.04465325,0.028793065,-0.023123788,-0.025735987,0.043742727,-0.21307251,0.2004671,-0.15584719,0.037573066,-0.008011062,0.16844049,0.044820108,-0.24692525,-0.2696742,0.048597425,-0.1738212,0.031245284,0.12818345,0.033400014,-0.04369766,-0.003341483,0.1368963,-0.09185103,0.044465598,0.027683675,0.10475691,-0.26849928,-0.15618105,0.31630698,-0.2645041,-0.02910841,0.012480248,0.090911776,-0.062195662,-0.14031845,-0.45376626,0.14251494,-0.029239567,-0.0992519,0.9283356,0.14446793,-2.028303,0.1353722,-0.044460732,1.2286625,0.49227494,-0.1021087,0.22869444,-0.18108453,0.023768635,0.58013606,-0.06736854,0.2113286,0.25886494,0.2807875,-0.19859658,0.19081302,-0.30720288,-0.46041712,0.029808741,-0.022587119,-0.023768386,-0.17348102,0.09419645,-0.66131145,0.18443507,0.73804027,-0.07649787,-0.15069284,-0.1275053,-0.87251526,-0.34991592,0.05850204,0.011141608,-0.14462431,-0.37007433,0.053716905,0.13361983,-0.24671097,0.09927721,-0.2738219,-0.10859395,0.2508221,0.00029692863,0.55194896,-0.17636326
2,negative,0.020963676,0.36843583,0.5121796,-0.0440324,-0.041521803,-0.017419765,-0.18716873,-0.13971473,0.1860688,0.23145954,0.007693558,0.0225231,0.19948551,-0.016045026,-0.04890492,-0.119277395,0.080525704,0.12844983,-0.46002397,0.3409029,0.35434994,-0.061421502,-0.00319521,0.016786484,0.14939304,0.23391701,-0.1546813,-0.18729416,0.2959499,-0.022099607,0.028255338,0.34096056,0.007244954,-0.12522246,0.017218594,0.061090864,0.046512038,-0.024537832,0.055734623,-0.17000498,-0.48375565,-0.032695007,0.040031448,-0.24095789,0.04085687,-0.17025043,2.5968619e-05,-0.1285446,-0.30217406,-0.4953214,0.036329802,0.06761733,0.10150598,0.92719495,-0.17438172,-1.6040204,0.18531013,-0.16474938,1.1037788,0.27693784,0.019928623,0.45277256,-0.19792476,-0.17885445,0.6847911,0.20135672,0.24023782,0.28707358,0.007922239,-0.18678576,0.17700376,-0.3269697,-0.17248628,0.11332154,0.07720277,0.022505177,0.013041565,-0.068113446,-0.7550522,0.24007569,0.6057115,0.14405148,-0.26334766,0.17174198,-1.0400639,-0.12466829,-0.07293364,-0.007327377,-0.042665765,-0.29180157,-0.06593185,-0.17301185,0.13121782,-0.018441588,-0.44325182,-0.09024711,-0.2590348,-0.21225762,0.21093976,-0.11436614
3,neutral,-0.21377148,-0.1189273,0.25045404,-0.12777351,0.15446767,0.39342618,0.12118376,0.3643497,-0.1847346,-0.043778025,0.1545535,-0.18241042,-0.25824255,-0.0044358,0.3854951,0.12631567,0.25484538,0.045457207,-0.039183576,0.29304492,0.3094698,0.019210232,0.05358798,-0.19770655,0.41755453,-0.13936843,0.12792861,-0.10136526,0.1832194,0.2971084,-0.11886431,0.2424942,0.32745442,0.356491,-0.10215454,0.022030395,-0.05175555,0.4092277,0.12773764,-0.2934425,0.12899318,0.083783045,0.004922599,0.2791426,-0.09302307,-0.014757773,-0.21313535,-0.21086858,0.22535071,-0.4946743,0.081448145,-0.29687697,0.31786394,0.39785036,0.029963301,-1.7579597,-0.037516113,-0.08186085,0.3472703,0.43522313,-0.010916155,0.6737119,-0.30442226,-0.026735391,0.32246643,-0.20492105,0.52827245,0.07005431,0.04126965,0.1359169,-0.24814731,0.13211858,-0.15738119,-0.030141972,-0.023454836,0.12820584,0.3008611,0.19973144,-0.21367177,-0.018119082,0.04691209,0.037704326,-0.14620358,-0.12912877,-0.61542976,0.008264649,-0.15227099,-0.30591005,0.13651656,0.14786959,-0.20162699,0.01565697,-0.25186127,-0.036106404,-0.3417316,-0.063444726,-0.26552972,-0.0131666055,0.12168668,0.15359774
4,negative,0.048104107,0.018298423,0.56428224,-0.25366578,-0.32461402,0.25222036,-0.12968287,0.043951422,0.17479421,-0.029098777,0.19638114,0.10697591,0.06638813,0.010590053,0.104817614,-0.011456539,-0.05966875,0.16301118,-0.21830319,0.36548066,0.30668163,0.16653195,-0.13232508,-0.28619415,0.09746097,0.22684628,-0.35200796,-0.26114208,0.018034758,-0.054738056,-0.0648354,0.4246178,0.026230447,-0.15514147,0.009014237,0.081779584,-0.28630677,-0.040068317,0.10308127,-0.19463633,-0.3227224,0.031952433,0.2538765,-0.21302885,-0.37677255,-0.06377367,0.16602962,-0.14807156,-0.29973432,-0.7913236,0.23157234,-0.02682933,0.0639076,0.9097139,-0.12892021,-2.052891,0.09170856,0.1407785,1.3539119,0.2316175,-0.18506749,0.71273637,-0.4136722,-0.16460267,0.7143737,-0.028215386,0.5635315,0.29321867,-0.093109965,-0.2828868,-0.032016803,-0.31531578,-0.021887906,-0.24491668,0.1155454,0.2540011,-0.068327874,-0.042736664,-0.564517,0.0048044287,0.5029891,-4.648153e-05,-0.33156377,0.0084769195,-1.330164,-0.11083542,-0.09707016,-0.12608376,-0.26819608,-0.49696517,-0.0793098,-0.10628826,-0.04184833,-0.049972396,-0.44333652,0.015910221,-0.17578496,-0.20030272,0.3492804,0.27645618
5,neutral,0.04403899,0.11409824,0.18218799,0.16256395,0.24535131,-0.07445595,0.14146706,-0.11622191,-0.36998737,0.1341556,-0.1869606,0.060890302,-0.026799923,-0.07319559,-0.18647282,-0.039141756,0.11266214,-0.09811583,-0.18870047,-0.002175965,0.013217983,-0.09952499,0.16952805,0.11395577,0.33968306,0.15517956,-0.39966455,-0.20206991,0.5803043,-0.41551194,-0.06826273,0.18484715,-0.10882704,0.043050043,0.14975493,0.016762514,-0.12233369,0.23316725,-0.12727438,-0.19377398,-0.21048819,0.042741425,0.40288585,-0.3234409,-0.059386965,-0.1392307,0.24496368,-0.1965538,-0.10731828,-0.12025774,-0.1483443,0.08439135,0.0997759,0.77300245,-0.099961184,-1.2877337,-0.08921193,0.15512161,0.5253386,0.13086115,-0.051476836,0.34150788,-0.3955793,-0.07904044,0.27837956,-0.08604413,0.10078239,0.013624889,-0.06901003,0.21210605,0.41773203,-0.03867454,-0.27115253,-0.4625338,0.08934481,0.19946194,-0.34288916,0.18889529,-0.41987616,0.047144197,0.32590932,0.21132652,-0.20603059,0.057091724,-0.4131518,0.252669,0.08719129,0.029136736,0.030268846,-0.74495536,0.005216725,-0.27835792,-0.09187612,0.23395354,-0.42298484,-0.024010977,-0.05890044,-0.10396689,-0.117783,0.37030137
6,negative,-0.0064393394,0.08145785,0.32371572,-0.17759739,0.100508995,-0.08614228,-0.19991967,0.24137323,0.07931331,0.41571122,0.5383104,0.24966568,0.24039862,0.11755863,0.16464911,-0.10710373,-0.020080699,0.13279112,-0.30881906,0.32579488,0.3250282,-0.016634062,0.12625797,-0.020027777,0.37104887,0.13112305,-0.24514,-0.034572832,-0.015704386,0.12028393,-0.110148914,0.020845322,0.24220964,0.36056644,-0.014892167,0.0078059267,-0.045579832,-0.0038697645,0.43551555,-0.056457143,-0.36300483,-0.11408185,-0.01479337,0.16734613,0.54870653,0.19864635,0.049482327,0.21982427,0.19841342,-0.22914831,-0.22426166,0.108809985,0.1949128,0.9096478,-0.075865015,-1.7487614,-0.3263139,0.20233098,1.195643,0.50048125,-0.13567428,0.7072513,-0.024838928,0.22291905,0.13891318,0.09152945,0.29253364,0.05590391,-0.23726799,-0.06881173,-0.20319949,-0.138568,0.012197559,-0.11228859,0.08055342,-0.274935,0.3512391,0.14474179,-0.40387857,0.2634247,0.5645142,0.013314698,-0.24495612,-0.0040066293,-0.31715995,-0.39929417,0.077732705,-0.06665223,0.10756173,0.021802677,0.2640807,-0.006278934,0.050509,-0.07843127,-0.2446208,0.20292506,-0.07199909,-0.17555155,0.22830807,-0.23254053
7,negative,0.20484109,0.1809465,-0.34654647,0.006766985,0.090701595,0.25502896,-0.64132595,0.42001098,-0.06043893,0.4881876,0.07259779,-0.04416378,0.32760286,0.35190952,-0.47849792,0.06591744,-0.21334825,-0.2643153,-0.5751747,-0.30588362,0.8375702,0.0094317505,0.27976206,-0.18088615,0.25873297,-0.39685324,0.04038536,0.0949276,0.56460404,0.14884843,-0.25800842,0.18022849,-0.0073335157,0.14885448,-0.11980606,0.23265989,0.26949856,-0.08316978,-0.20696078,-0.16651647,-0.62839377,-0.12105825,0.37743285,0.018307496,0.7581976,-0.3477412,-0.07310628,-0.05896977,-0.009798785,-0.2968812,0.48518768,-0.10886994,0.2267327,0.89135504,-0.5580614,-1.6656648,-0.42761114,-0.22102676,1.3867543,0.09895571,-0.28525516,0.366355,-0.13868318,-0.34121233,0.16343112,-0.026947733,-0.15348226,0.071338646,0.07850147,-0.06392267,-0.2569373,-0.31947836,-0.42923728,-0.6793806,0.20874585,0.28951687,0.9207129,0.020076543,-1.0072329,0.13860591,0.69565076,-0.26422668,-0.004890099,-0.08165513,-0.8870434,-0.12565468,0.23329887,0.05051777,0.10809524,-0.08147119,0.322952,-0.20036276,-0.026751598,0.062023137,-0.55807453,0.30101198,-0.017383145,0.45830622,0.30665,0.02230383
8,negative,-0.05869764,0.014146269,0.25210607,-0.12257144,-0.012331971,0.17891751,-0.18189801,0.13492757,0.101676494,0.084592775,-0.052379902,-0.0060045975,0.024084898,0.010681644,-0.053869367,-0.086390026,0.16033763,0.12533258,-0.2516329,-0.0071959146,0.25360218,0.056338064,0.06967569,0.0014642917,0.017576609,-0.020650415,-0.21176839,-0.32313925,0.027295867,-0.038961273,0.06842303,0.31356168,0.078807026,-0.05952967,0.041406494,0.14399618,-0.014996687,0.008450138,0.030958131,0.045567513,-0.15264161,-0.2661548,-0.06743388,-0.112977505,0.011137567,0.02213469,0.1118638,-0.16204949,-0.06825766,-0.5406999,-0.09435083,-0.1451861,-0.009462434,0.6238425,0.034000494,-1.3692396,-0.03294262,0.12266142,1.0475851,0.22585249,-0.15506777,0.31678137,-0.13359146,-0.06411328,0.3612593,0.058668327,0.2630182,0.052225996,0.064168006,0.031848613,0.12849827,-0.24664648,-0.12841254,-0.27422574,-0.014058076,-0.060776945,0.029607255,0.04886206,-0.5478414,-0.12799136,0.26814717,0.07538006,-0.096957915,0.13228285,-0.71414024,-0.036938284,-0.07286657,-0.0698726,-0.005503372,-0.365757,0.14463791,-0.060904812,-0.07184537,0.011622083,-0.28321496,-0.026117736,-0.029897232,-0.16528714,0.38014162,0.13840854
9,neutral,0.093946405,0.28371534,0.29837757,-0.17051636,-0.24811701,0.30505207,-0.19586587,0.047435235,0.19577716,0.16944107,0.01211789,0.0843952,0.3940134,-0.067526884,-0.038451586,0.041728016,-0.14558366,0.035875086,-0.55999386,0.36697623,0.17830904,-0.12526602,-0.051195603,-0.06494378,-0.025231205,-0.18043202,-0.033635452,-0.3828295,0.39454547,0.15681574,-0.08953979,0.3146296,0.077477016,0.16497815,-0.0016254198,-0.001637183,-0.04260903,0.028828822,0.064613014,-0.34300384,-0.45819038,-0.041716628,0.2269119,-0.32610354,-0.2642682,-0.27118698,0.30141962,-0.2745563,-0.11395125,-0.5783192,0.056630034,-0.15159826,0.10039265,0.55685204,-0.34525064,-1.1763852,-0.017845958,-0.08520169,1.0599618,0.20827296,-0.47343636,0.4025213,-0.19029143,-0.18525574,0.40213874,0.17419852,0.18315007,0.27082726,-0.28834346,0.3302098,-0.01287531,-0.32419905,-0.3881309,-0.12953262,-0.20924604,0.25353792,0.296778,0.17613138,-0.549437,-0.0110507365,0.5133579,-0.10819158,-0.040534135,0.042034455,-0.7128759,-0.2165648,-0.08464834,0.22362582,0.01165354,-0.2178671,0.044028286,-0.2241055,-0.18431686,-0.11566424,-0.43677488,0.059041705,-0.06292281,0.07103114,0.13666874,0.28246266
