row_id,ground_truth,glove_f0,glove_f1,glove_f2,glove_f3,glove_f4,glove_f5,glove_f6,glove_f7,glove_f8,glove_f9,glove_f10,glove_f11,glove_f12,glove_f13,glove_f14,glove_f15,glove_f16,glove_f17,glove_f18,glove_f19,glove_f20,glove_f21,glove_f22,glove_f23,glove_f24,glove_f25,glove_f26,glove_f27,glove_f28,glove_f29,glove_f30,glove_f31,glove_f32,glove_f33,glove_f34,glove_f35,glove_f36,glove_f37,glove_f38,glove_f39,glove_f40,glove_f41,glove_f42,glove_f43,glove_f44,glove_f45,glove_f46,glove_f47,glove_f48,glove_f49,glove_f50,glove_f51,glove_f52,glove_f53,glove_f54,glove_f55,glove_f56,glove_f57,glove_f58,glove_f59,glove_f60,glove_f61,glove_f62,glove_f63,glove_f64,glove_f65,glove_f66,glove_f67,glove_f68,glove_f69,glove_f70,glove_f71,glove_f72,glove_f73,glove_f74,glove_f75,glove_f76,glove_f77,glove_f78,glove_f79,glove_f80,glove_f81,glove_f82,glove_f83,glove_f84,glove_f85,glove_f86,glove_f87,glove_f88,glove_f89,glove_f90,glove_f91,glove_f92,glove_f93,glove_f94,glove_f95,glove_f96,glove_f97,glove_f98,glove_f99
0,negative,-0.03238185,0.27413225,0.35590962,-0.11419309,0.02056412,0.0012462031,-0.18247765,0.0505917,0.088692285,0.112171754,0.036411766,0.058396608,-0.007184751,0.27758414,0.026232027,0.013079475,0.0073623173,-0.18466265,-0.47600573,0.22936697,0.30419204,0.16051151,0.30086887,0.04589964,0.03130458,-0.2592867,-0.045845404,-0.21299052,0.34834737,-0.04372471,-0.08359629,0.13145207,-0.060022686,-0.058723282,0.20095326,0.023952285,0.088288054,0.015619056,-0.09180298,-0.20854826,-0.5079929,-0.15125445,0.26774696,-0.106282406,0.14738488,-0.13589714,0.47905648,-0.069966406,-0.07699466,-0.5175208,0.015835043,0.12135529,0.001818513,0.83780146,-0.23686944,-1.8729848,0.00050193403,-0.1381486,1.2925313,0.5367132,-0.040974133,0.5003204,-0.09085975,-0.28283316,0.68053603,0.11012225,-0.17656861,0.3839485,0.013997734,-0.0725544,0.101064436,-0.476796,-0.33886003,-0.23154916,0.16500269,0.051226366,-0.10107411,-0.03568465,-0.6960344,0.123256244,0.66897506,-0.02678593,-0.30919713,0.16536035,-0.9843093,-0.13018651,-0.1872357,-0.022101304,-0.15528198,-0.24532662,-0.038487706,-0.04540969,-0.08822678,0.104454376,-0.44568273,0.21432875,-0.2192817,-0.045930423,0.3630512,0.02054441
1,negative,-0.19896433,0.19390182,0.41720834,-0.23924749,0.17653555,-0.21945822,-0.23231785,-0.27023894,-0.11001739,0.052301116,0.00055279466,0.07354782,0.029811328,-0.07951232,-0.13359115,-0.06666688,-0.118894815,-0.13922359,-0.21758714,-0.06690466,0.2172934,-0.18647766,0.08055223,-0.023670504,0.06547235,-0.07291691,-0.13136576,-0.4304247,-0.008098486,-0.08758211,0.06648244,0.25298864,0.039466,0.00021206406,-0.056376964,0.26340827,-0.039145064,0.0110675385,0.009704661,0.100007124,-0.42594323,-0.24621926,0.5070586,-0.21259016,0.0846988,-0.07038179,0.04797613,-0.21935123,-0.1538562,-0.5640919,0.25842166,-0.16332965,-0.14568627,1.0488813,0.14691605,-2.2913394,0.065487295,-0.03324984,1.5065287,0.5405741,-0.1198361,0.116121724,-0.20384528,-0.043591745,0.7804693,-0.0077670715,0.37578556,0.38761842,0.37199506,-0.06901585,0.30445305,-0.36875275,-0.60819083,-0.109183036,-0.044236585,-0.013868749,-0.2243833,0.07749966,-0.78088224,0.13184237,0.79781216,-0.07771767,-0.2203198,-0.17543706,-1.0344789,-0.29886892,0.017650489,0.050674256,-0.070146,-0.43680558,0.019107835,0.046405774,-0.31362942,0.22406104,-0.50527024,-0.047514975,0.20774414,-0.1222007,0.6965511,-0.13257416
2,negative,0.013642947,0.36285952,0.56577265,-0.011474456,-0.012271567,0.04601291,-0.20135632,-0.18588765,0.18483739,0.21801066,-0.017522274,-0.009186484,0.2525976,0.016200414,-0.04135308,-0.116028294,0.10774603,0.116541035,-0.5319729,0.38136187,0.34002972,-0.0951279,-0.0085427705,0.05939487,0.19134036,0.22544722,-0.15327343,-0.21470618,0.3710483,0.050468285,0.004226168,0.36659086,0.009935641,-0.119145535,0.072703995,0.015636303,0.0021806867,0.00596459,0.034731053,-0.09600948,-0.5239241,-0.010036105,0.05354299,-0.22500603,0.01582466,-0.22880708,0.017570475,-0.10554836,-0.2463781,-0.47539538,0.010710474,0.08171381,0.10302813,0.9766732,-0.15043183,-1.7504318,0.19456749,-0.16748716,1.114151,0.32985696,0.007145192,0.5227062,-0.17729813,-0.17406525,0.6482761,0.22605005,0.21098319,0.3394972,-0.0003795146,-0.16122259,0.20714438,-0.3484747,-0.2079007,0.08625682,0.1230041,0.0745956,-0.016418159,-0.07600739,-0.76977015,0.1728972,0.579876,0.12698978,-0.23160563,0.18349501,-1.1478921,-0.13845196,-0.06291257,0.046203636,-0.018416569,-0.27441576,-0.018884227,-0.19174968,0.17763163,-0.01635428,-0.48890844,-0.036514807,-0.3113576,-0.1895534,0.204772,-0.13010947
3,neutral,-0.21377148,-0.11892731,0.2504541,-0.12777351,0.15446772,0.3934262,0.12118379,0.36434975,-0.1847346,-0.043778032,0.15455352,-0.18241043,-0.2582426,-0.0044358037,0.38549522,0.1263157,0.25484538,0.04545721,-0.03918359,0.29304495,0.3094698,0.019210251,0.053587973,-0.19770658,0.4175546,-0.13936841,0.1279286,-0.10136526,0.1832194,0.29710847,-0.11886431,0.24249421,0.32745445,0.35649103,-0.102154545,0.022030395,-0.05175555,0.4092277,0.12773766,-0.29344255,0.1289932,0.08378307,0.0049225995,0.2791426,-0.09302306,-0.014757772,-0.21313538,-0.2108686,0.22535072,-0.49467432,0.08144815,-0.29687703,0.317864,0.39785036,0.029963303,-1.7579598,-0.03751612,-0.08186085,0.3472704,0.43522313,-0.010916149,0.6737119,-0.30442226,-0.0267354,0.32246646,-0.20492107,0.5282725,0.07005431,0.04126966,0.1359169,-0.24814732,0.13211861,-0.15738122,-0.030141965,-0.02345484,0.12820585,0.30086115,0.19973145,-0.21367179,-0.01811909,0.04691208,0.037704326,-0.14620359,-0.1291288,-0.6154299,0.008264651,-0.15227099,-0.30591008,0.13651656,0.14786959,-0.20162702,0.015656967,-0.25186127,-0.03610641,-0.34173167,-0.063444726,-0.26552975,-0.013166609,0.121686734,0.15359776
4,negative,0.01901523,0.16638309,0.574799,-0.37528074,-0.33693543,0.22876918,-0.095477656,0.028163098,0.19943719,-0.059729476,0.24670564,0.057327773,0.13488738,0.025939075,0.11925139,0.0012776722,-0.020398999,0.19576329,-0.25056958,0.40202367,0.3414414,0.22066559,-0.14958546,-0.2755828,0.18909706,0.14130318,-0.32217935,-0.33058816,0.06225974,-0.15565471,0.0006727328,0.46435165,0.09507807,-0.12364188,0.0295659,0.08494359,-0.3250634,0.046777744,0.110818684,-0.31560495,-0.30596378,-0.008515411,0.22404501,-0.33296928,-0.3390684,-0.09160473,0.15906692,-0.13180266,-0.28655383,-0.79949427,0.17390664,-0.02180149,0.11806334,0.9611495,-0.11241955,-2.2766254,-0.00052472,0.20035663,1.4799404,0.26880646,-0.14782813,0.82151335,-0.42103866,-0.12097513,0.7267695,-0.009863006,0.51473427,0.29452124,-0.11799433,-0.29600477,0.010835918,-0.27302474,0.035636418,-0.25558338,0.19862904,0.22829053,-0.11608191,-0.08183377,-0.58449155,0.049382716,0.49315035,-0.05296683,-0.43277368,-0.02736595,-1.3928986,-0.06332687,-0.04459289,-0.14245261,-0.24734733,-0.44613644,0.0084735155,-0.12912084,0.009337105,-0.0031702656,-0.544837,-0.00817498,-0.11622024,-0.14117967,0.28267723,0.3355461
5,neutral,0.0492922,0.2005199,0.060100768,0.15129195,0.45506486,-0.15547644,0.17997728,-0.051767588,-0.4546532,-0.1669087,-0.17561312,0.22986275,-0.051612783,-0.09030605,-0.13650335,-0.072783515,0.1685918,-0.051244978,-0.22698501,0.15516628,-0.12097448,-0.2664952,0.249321,0.12659541,0.35716438,0.21272978,-0.6475068,-0.38057953,0.56555617,-0.4817781,-0.18328844,0.3209597,0.09841008,0.26776093,0.087033026,-0.07715397,0.05500935,0.33905277,-0.20561528,-0.09177677,-0.33936018,-0.013657502,0.5082705,-0.38158122,-0.026953086,-0.21131366,-0.0028815193,-0.38591152,-0.5075844,-0.119063854,-0.043471366,-0.20234497,0.019905657,0.79998493,-0.13723707,-1.9412664,-0.19845463,0.4261701,1.0374705,0.077083886,-0.22967397,0.45899817,-0.6660404,-0.37934762,0.4971435,-0.19288355,-0.041147657,0.47668353,0.08608338,-0.12643036,0.45127243,-0.0058769663,-0.30424473,-0.7212183,0.13117354,0.16987115,-0.38717797,0.07236679,-0.6260994,-0.04054535,0.2701464,0.15099682,-0.34494925,-0.044319317,-0.6589619,0.30696717,0.08181297,-0.043878242,0.08578032,-0.94503033,0.14741112,-0.30508617,-0.15219507,0.207329,-0.48434952,0.16677721,-0.09725333,0.09792724,0.30556208,0.33280975
6,negative,-0.08555836,0.12434231,0.3811191,-0.2536324,0.093999505,-0.07173111,-0.1401152,0.26362535,0.07548978,0.42645887,0.3911538,0.24284506,0.27021447,0.07541395,0.19212875,-0.04732028,-0.027680429,0.095262975,-0.34869576,0.52909577,0.41897112,0.007559662,0.20881338,0.10620838,0.23768549,0.24227957,-0.27619404,-0.10690697,0.10908138,0.117870614,-0.1656554,0.026816698,0.18643786,0.27853242,-0.012322346,-0.020959735,-0.06729278,0.04967942,0.36239842,-0.013799292,-0.4124926,-0.09847696,-0.010713092,0.16527665,0.46673694,0.16477522,-0.03860207,0.18925138,0.15972179,-0.28792506,-0.22552301,0.11941064,0.22436929,0.91477656,-0.08199934,-1.6061773,-0.3394069,0.2509567,1.2096251,0.5173697,-0.09419865,0.7406971,-0.03832078,0.1859913,0.2075771,0.17519403,0.35333288,-0.024285913,-0.2307834,-0.059339717,-0.17349325,-0.16687298,-0.020024866,-0.10518454,0.014478625,-0.11060698,0.25157225,0.06426147,-0.48818925,0.2539265,0.6678199,0.058369502,-0.24592015,-0.04551532,-0.34265,-0.4758401,0.010610009,0.041564085,-0.09174001,-0.037626434,0.2104234,0.053969525,-0.012159667,-0.119973645,-0.17285658,0.27151862,-0.07756199,-0.047700446,0.160551,-0.241776
7,negative,0.2386551,0.17101254,-0.2723049,-0.05523662,0.119507454,0.24840055,-0.55714494,0.4565345,-0.10018705,0.39785165,0.09303905,-0.120315395,0.28068307,0.3432921,-0.4533474,0.080366425,-0.13018158,-0.20926026,-0.60534877,-0.27627197,0.8010844,0.07489638,0.26502085,-0.0750205,0.23443817,-0.3359065,0.118456475,0.07246508,0.5760298,0.16164595,-0.25779724,0.24286123,-0.029170848,0.15938763,-0.066660956,0.20469038,0.23358692,-0.067419864,-0.19930299,-0.15666991,-0.6053243,-0.12083967,0.29840577,0.026473798,0.691463,-0.35625377,-0.055304732,-0.046317946,-0.014892477,-0.35404232,0.42380252,-0.045821354,0.19561386,0.79661995,-0.5238979,-1.7011929,-0.3856294,-0.1978259,1.3578023,0.1053163,-0.25101954,0.31345457,-0.09914032,-0.31916192,0.20033365,-0.040955592,-0.16623442,0.12488316,0.1137452,0.013004519,-0.22114912,-0.245677,-0.42395967,-0.60651153,0.20334496,0.2538632,0.9218499,0.006160742,-0.98754525,0.12762669,0.6582066,-0.2951446,0.0064258445,-0.035157047,-0.8226214,-0.12454159,0.18624194,0.03154942,0.14630379,-0.051649943,0.28671792,-0.19565961,0.016310431,0.064522095,-0.55472416,0.28580245,-0.041712753,0.42681405,0.33747315,0.047851797
8,negative,-0.1095437,0.13583829,0.30902305,-0.09546174,-0.07162703,0.0687862,-0.29643476,0.03410665,0.13539697,0.12249386,-0.02819649,-0.15749173,0.03346129,0.042495713,-0.055180818,-0.10810323,0.26969022,0.15548426,-0.351562,0.031197257,0.36204976,0.046843458,0.16040747,-0.08595718,-0.019701388,-0.124400705,-0.19162688,-0.44696495,0.1249499,-0.043335583,0.060444623,0.50196546,-0.10154003,-0.0355838,0.037800983,0.11254294,0.056205127,0.011868809,-0.1223457,-0.09657514,-0.36575988,-0.3022028,0.10059117,-0.011966407,0.029966999,-0.14749733,0.15470363,-0.09952732,-0.16774918,-0.67452663,-0.032632805,-0.114621386,-0.00049784424,0.81578434,0.048687868,-1.7500788,-0.024838531,-0.051534504,1.4287452,0.38722333,-0.08449334,0.34467882,-0.23652615,-0.09860066,0.50807667,0.1276007,0.11839656,0.15691434,0.07370357,-0.019445283,0.18089911,-0.2822358,-0.20754823,-0.30434626,0.058548722,-0.09641219,-0.0108882645,0.12968306,-0.73767895,-0.11716719,0.42759827,0.08404325,-0.19286987,0.12451217,-0.8827613,0.07765549,-0.08244918,-0.065504014,-0.067756675,-0.57326394,0.09715732,-0.10282767,-0.16697393,0.01972407,-0.38319495,0.053768627,0.039730527,-0.2345283,0.46825936,0.088208854
9,neutral,0.14601263,0.25664875,0.36294907,-0.03823607,-0.33878234,0.011742856,-0.25789744,0.17198329,0.30539325,0.065568835,0.1990989,0.07555538,0.43900988,-0.104809254,-0.11256793,0.027813476,-0.038307413,0.12852171,-0.94099087,0.32900098,0.22252893,-0.24108449,0.0013058392,-0.13303769,-0.2587208,-0.17016931,0.018423956,-0.111607686,0.4199882,0.022660434,0.0017397883,0.21684259,-0.07349266,0.10443155,0.04068826,0.09332586,0.1928654,0.035064284,0.10154717,-0.37438154,-0.67637044,0.02155595,0.28268626,-0.3787505,-0.26938057,-0.351907,0.35098565,-0.19966778,-0.3192121,-0.68757933,0.18320389,-0.17178549,0.17989905,0.76261157,-0.4459681,-1.3703209,-0.03201955,-0.19858557,1.2456889,0.12662736,-0.41795492,0.59046215,-0.027045753,-0.39906862,0.5804017,0.2010146,0.17129461,0.3745806,-0.34688252,0.28582194,0.16808617,-0.28958413,-0.23213324,-0.2258375,0.007913674,0.1545284,0.19734496,0.058072608,-0.68526876,0.17238185,0.6940086,-0.19304188,-0.08746869,0.0074945823,-0.9330937,-0.20281878,-0.028935483,0.09305828,0.0135524925,-0.37120885,-0.009942411,-0.2010826,-0.17577069,-0.11354297,-0.51882064,0.024521124,0.013335357,-0.032367878,0.18906364,0.30305833
