row_id,ground_truth,glove_f0,glove_f1,glove_f2,glove_f3,glove_f4,glove_f5,glove_f6,glove_f7,glove_f8,glove_f9,glove_f10,glove_f11,glove_f12,glove_f13,glove_f14,glove_f15,glove_f16,glove_f17,glove_f18,glove_f19,glove_f20,glove_f21,glove_f22,glove_f23,glove_f24,glove_f25,glove_f26,glove_f27,glove_f28,glove_f29,glove_f30,glove_f31,glove_f32,glove_f33,glove_f34,glove_f35,glove_f36,glove_f37,glove_f38,glove_f39,glove_f40,glove_f41,glove_f42,glove_f43,glove_f44,glove_f45,glove_f46,glove_f47,glove_f48,glove_f49,glove_f50,glove_f51,glove_f52,glove_f53,glove_f54,glove_f55,glove_f56,glove_f57,glove_f58,glove_f59,glove_f60,glove_f61,glove_f62,glove_f63,glove_f64,glove_f65,glove_f66,glove_f67,glove_f68,glove_f69,glove_f70,glove_f71,glove_f72,glove_f73,glove_f74,glove_f75,glove_f76,glove_f77,glove_f78,glove_f79,glove_f80,glove_f81,glove_f82,glove_f83,glove_f84,glove_f85,glove_f86,glove_f87,glove_f88,glove_f89,glove_f90,glove_f91,glove_f92,glove_f93,glove_f94,glove_f95,glove_f96,glove_f97,glove_f98,glove_f99
0,negative,0.029714534,0.23471163,0.2898856,-0.024562633,0.024493294,0.006891597,-0.20630129,0.07082716,0.14723031,0.022275757,0.044112172,0.0029692883,-0.037074905,0.22706804,-0.043475974,-0.025646739,0.03420396,-0.24719922,-0.4474063,0.30956852,0.28353274,0.20841351,0.23029177,0.1260333,0.04835967,-0.3444283,-0.048625253,-0.18372068,0.39097783,-0.07258338,-0.1566795,0.05115837,-0.090914614,-0.11827506,0.20101054,0.054335263,0.24290165,0.015754761,-0.13351274,-0.21422501,-0.54516834,-0.14370313,0.29561582,-0.14865501,0.21995372,-0.12286821,0.48367032,-0.050775833,0.01909169,-0.5071866,0.04539828,0.20636782,-0.035340432,0.8223937,-0.2616794,-1.884418,-0.069577195,-0.1439633,1.2160587,0.48047313,0.012163301,0.45351315,-0.03260674,-0.30671406,0.6641812,0.07098899,-0.2508113,0.4297746,0.038363956,-0.06491362,0.12970667,-0.45637494,-0.40255055,-0.22880502,0.1660593,0.03648794,-0.09287575,0.00968583,-0.6452723,0.10610805,0.6747241,-0.08801467,-0.3303957,0.14654778,-0.966812,-0.22753085,-0.18770878,0.028120402,-0.20566586,-0.26894635,-0.03375431,-0.07461162,-0.0013455965,0.063299105,-0.45000145,0.18852316,-0.25438157,-0.024013288,0.38020596,-0.0047094217
1,negative,-0.19300306,0.21313375,0.28171223,-0.33304864,0.06461141,-0.07151208,-0.25281918,-0.114139274,-0.070747346,0.104466856,0.0595709,0.10444286,-0.005109552,-0.116935216,-0.04425089,0.028932996,-0.02300133,-0.024572257,0.0459747,-0.21370845,0.19908439,-0.15507211,0.036609355,-0.008121026,0.16876602,0.044754945,-0.24692787,-0.2692305,0.047113225,-0.1738444,0.031185139,0.128108,0.032812435,-0.044263676,-0.004061767,0.13655944,-0.09246799,0.044730954,0.027767234,0.10485474,-0.2674343,-0.15648635,0.31539223,-0.26378125,-0.0301141,0.012943217,0.091219835,-0.06133349,-0.14014459,-0.4528741,0.14287053,-0.029108567,-0.099744804,0.9268956,0.14382572,-2.0270844,0.13622838,-0.044565864,1.2270161,0.49216762,-0.10238805,0.22856118,-0.18093936,0.024583519,0.5792579,-0.06792857,0.21071069,0.25795594,0.281214,-0.1994696,0.18991064,-0.3062297,-0.45958605,0.030002147,-0.022495423,-0.023281971,-0.17263195,0.09396353,-0.6601491,0.18351202,0.7372195,-0.07621867,-0.15010776,-0.12772399,-0.8717462,-0.34999844,0.059562944,0.010866663,-0.1451666,-0.3701189,0.053880922,0.13462535,-0.24665658,0.09782128,-0.27293476,-0.108330205,0.25088963,0.00055975537,0.5516288,-0.1769525
2,negative,0.020292964,0.36794546,0.51286757,-0.045146026,-0.042350058,-0.016303696,-0.18681158,-0.14042893,0.18681985,0.23111533,0.007867618,0.022997776,0.19992611,-0.016199114,-0.04866663,-0.11837986,0.079891145,0.12929477,-0.45860758,0.34208453,0.35509744,-0.05995411,-0.0049960124,0.015397171,0.14902285,0.23526573,-0.15493612,-0.18626752,0.2962208,-0.022178698,0.028326398,0.33961275,0.008070682,-0.12511638,0.016057104,0.061106857,0.04508817,-0.024154603,0.05567937,-0.17116673,-0.48286986,-0.03171368,0.038945958,-0.24023286,0.039352056,-0.1704525,-0.00029931666,-0.12776686,-0.3016775,-0.49384817,0.035999052,0.06751186,0.102164775,0.9256839,-0.17613931,-1.6005813,0.1858836,-0.16302074,1.1015662,0.27641422,0.020890975,0.45236495,-0.19884576,-0.17887707,0.68529326,0.20227204,0.24052973,0.28582114,0.007212017,-0.18758394,0.17655475,-0.3261932,-0.17162584,0.11422544,0.07717,0.023228405,0.013517155,-0.06941608,-0.7533423,0.23957843,0.6040809,0.14459057,-0.26362708,0.17260008,-1.0395403,-0.123683974,-0.071929865,-0.008312689,-0.04218328,-0.29094622,-0.06650365,-0.17359312,0.13110457,-0.017751496,-0.44149882,-0.09148278,-0.25970593,-0.21287002,0.2103913,-0.11453893
4,negative,0.048361916,0.016869972,0.5646499,-0.2535914,-0.32454,0.25348416,-0.1307384,0.04402181,0.17513537,-0.029988315,0.19680896,0.1078773,0.065608405,0.010591803,0.10474674,-0.011736114,-0.059638623,0.16387397,-0.21713707,0.36514744,0.30644062,0.16822784,-0.13164434,-0.28640684,0.097675934,0.22777964,-0.3528576,-0.26132214,0.018069966,-0.05493578,-0.06488586,0.4238157,0.02564217,-0.15502399,0.008495113,0.08135146,-0.2866993,-0.040752914,0.10245611,-0.19408013,-0.32281652,0.030870486,0.2532033,-0.21280913,-0.3777105,-0.063801326,0.16526647,-0.14693297,-0.2992249,-0.79064196,0.23237942,-0.02708016,0.06355175,0.90938485,-0.12807222,-2.0514703,0.09128551,0.1409603,1.3533078,0.23087855,-0.18466045,0.7131514,-0.41430807,-0.16421382,0.7137163,-0.027997587,0.56420517,0.29236642,-0.09306908,-0.28258336,-0.032623563,-0.3149908,-0.021509152,-0.24567014,0.11481121,0.2542924,-0.06885075,-0.042984366,-0.56320375,0.004770066,0.5024976,0.00016030055,-0.3315062,0.008796513,-1.329348,-0.111173175,-0.09781318,-0.12576632,-0.26883635,-0.4966422,-0.08021627,-0.10652409,-0.041442495,-0.04997065,-0.44279608,0.014597237,-0.1760628,-0.19886404,0.34932733,0.27596676
6,negative,-0.0033093542,0.07762417,0.3214918,-0.17343584,0.1011299,-0.09292087,-0.20200272,0.2540071,0.08102195,0.41612852,0.5428902,0.24977389,0.23283161,0.11221659,0.16384085,-0.11386039,-0.019100228,0.13054775,-0.31322995,0.32791868,0.3175318,-0.011671078,0.12608923,-0.015636673,0.3675271,0.12714763,-0.24203256,-0.039221298,-0.013996787,0.123395145,-0.11682901,0.020442337,0.24578717,0.36138013,-0.007951016,0.0106314225,-0.04126846,0.0032545547,0.43307832,-0.06528344,-0.357826,-0.11966844,-0.013564343,0.16509628,0.55133355,0.1985029,0.04613438,0.22286993,0.20349711,-0.21437117,-0.22512922,0.10907728,0.19819865,0.9021826,-0.07592127,-1.7466673,-0.3241799,0.20460825,1.1865679,0.4935781,-0.14227808,0.6994512,-0.022375563,0.2223508,0.134646,0.090715535,0.29478064,0.05399409,-0.23858753,-0.06988589,-0.20633823,-0.13136628,0.013374998,-0.11455583,0.081090316,-0.2747935,0.3510675,0.14638251,-0.40499142,0.26237854,0.5651637,0.007454073,-0.2388495,0.0029911187,-0.30877665,-0.40144473,0.06823671,-0.06478953,0.110318445,0.01619847,0.26334366,-0.008370851,0.052486025,-0.08239394,-0.23667336,0.21087441,-0.076610245,-0.17425378,0.22847185,-0.22814076
7,negative,0.2237711,0.16828333,-0.34145638,-0.0011625987,0.117661044,0.23191355,-0.6455926,0.42386344,-0.09311037,0.48232028,0.07108028,-0.06424416,0.31775677,0.37312326,-0.46887276,0.06471148,-0.2074475,-0.27645442,-0.5643899,-0.31074208,0.8223792,-0.0080658365,0.2906246,-0.2274917,0.26982257,-0.41004524,0.05778609,0.06976968,0.5499314,0.17948684,-0.28393766,0.17705828,-0.013463973,0.1424715,-0.1365685,0.2631133,0.26071465,-0.068175435,-0.21065871,-0.17433938,-0.6119708,-0.14057301,0.34550792,0.0034480488,0.7573903,-0.322917,-0.06528071,-0.069138944,0.04032622,-0.30275843,0.48192707,-0.09918854,0.2675249,0.8833663,-0.5876319,-1.7327855,-0.45244554,-0.21187626,1.3511528,0.08075155,-0.28684142,0.36767632,-0.17309344,-0.3214412,0.15811256,-0.03906975,-0.15823823,0.0873598,0.10829043,-0.06594915,-0.30841917,-0.32162133,-0.4351035,-0.6765606,0.19045715,0.21464409,0.93531674,0.012928722,-1.0219393,0.09396495,0.69197303,-0.23507722,0.029497078,-0.06266871,-0.89179385,-0.15261455,0.21057944,0.04071895,0.10171963,-0.0404743,0.30068254,-0.21785462,0.01373701,0.07292266,-0.56455827,0.33254474,0.006335872,0.45716837,0.3110612,0.022806337
8,negative,-0.08257846,0.0073330454,0.2553218,-0.111006565,0.0055565704,0.17237094,-0.18064736,0.12067509,0.09857431,0.07995564,-0.047194067,-0.002826957,0.01192283,0.009059153,-0.041612893,-0.09112747,0.17464337,0.12782006,-0.22807673,-0.026701171,0.2574459,0.044178143,0.06836903,-0.001118333,0.030958923,-0.021622138,-0.2145338,-0.31629068,0.035512097,-0.038046475,0.06786069,0.32095677,0.078919224,-0.05952944,0.051850397,0.16085279,-0.016892739,-0.011448463,0.034009915,0.043798137,-0.15651986,-0.26437458,-0.08218771,-0.104470626,0.025921058,0.018255893,0.1069135,-0.15117557,-0.0641414,-0.51563597,-0.105631866,-0.13212997,-0.0045543644,0.61611116,0.03731058,-1.3399731,-0.034564167,0.13393752,1.0365511,0.21036132,-0.13406596,0.309893,-0.14751308,-0.06403555,0.3522965,0.048972625,0.24856052,0.057323404,0.06877414,0.022251617,0.14647657,-0.23642161,-0.13482735,-0.2731936,-0.017464679,-0.07173747,0.0133872675,0.052911557,-0.5408512,-0.12579988,0.26599917,0.065857165,-0.09376069,0.13605289,-0.69283545,-0.033657372,-0.065712325,-0.0694745,0.001795189,-0.35482982,0.15030566,-0.05417898,-0.0602891,-0.002059581,-0.27979544,-0.034728646,-0.016697288,-0.15161827,0.36703175,0.13391817
9,neutral,0.09837994,0.287271,0.29849514,-0.1735382,-0.24512216,0.30380866,-0.19585513,0.04773911,0.19802593,0.17168106,0.012818094,0.084703624,0.39726743,-0.070187315,-0.039749335,0.043632846,-0.14890365,0.032682016,-0.5629027,0.3657255,0.17988767,-0.12514134,-0.04974847,-0.06752719,-0.025787631,-0.18402556,-0.031633127,-0.37628636,0.39935273,0.15859812,-0.08994859,0.3120457,0.074577756,0.16487253,0.0020352337,-0.0034447403,-0.04053665,0.0335271,0.06434844,-0.3417181,-0.46311897,-0.042998884,0.22878748,-0.32401913,-0.26459047,-0.27652454,0.30204755,-0.2750035,-0.114785574,-0.57477677,0.05693877,-0.15210608,0.10016022,0.55827045,-0.34784877,-1.1682315,-0.017687915,-0.088259056,1.0549352,0.20329121,-0.47452378,0.4012816,-0.19104049,-0.18686803,0.3991814,0.17833829,0.18453403,0.26615313,-0.29152945,0.3268287,-0.011976021,-0.32283914,-0.38649216,-0.12976797,-0.21311587,0.25736025,0.29848734,0.17607065,-0.54635733,-0.0154813165,0.51756465,-0.10815058,-0.04301598,0.04716357,-0.71572495,-0.21542531,-0.08132136,0.2258973,0.007970475,-0.21792443,0.03877792,-0.22267914,-0.18582076,-0.1191075,-0.4412819,0.056338593,-0.06266699,0.07236087,0.13248736,0.28490546
10,negative,-0.021206422,0.18992765,0.44097507,-0.40882197,-0.1612685,0.23377468,-0.017675752,0.17180258,0.013085675,-0.22500391,0.16041344,0.023866111,0.32090393,-0.092909515,0.20716803,-0.19803709,-0.05678909,-0.03675647,-0.2254075,0.39267024,0.5496538,0.055930194,0.14041243,0.10313859,0.20483895,-0.0971025,-0.17829198,-0.24987563,0.22250324,-0.013763522,0.06356477,0.40556663,0.008192706,-0.24717392,-0.15610367,0.15862976,-0.08097521,0.21498962,0.0048707775,-0.10467131,-0.23978847,-0.15945458,0.07094017,-0.24220799,0.009207636,-0.1701759,0.28999892,-0.22587387,-0.005183779,-0.87851167,0.0044670496,-0.14144766,0.1751974,0.89763886,-0.2906572,-2.5700278,-0.09477084,0.047920108,1.5977932,0.5756377,-0.07191731,0.9429754,-0.57220215,-0.19825433,0.5354117,-0.016660465,0.52923256,0.23080662,0.080197625,0.011361182,-0.13395989,-0.21401414,-0.16055267,-0.031915236,0.115661606,0.19229144,-0.017397016,0.030955303,-0.76124036,-0.10652634,0.5327379,-0.063180506,-0.4085118,0.13092913,-1.2319454,-0.4125632,-0.062440723,-0.063377954,-0.22645785,-0.43235096,0.24491966,-0.048037183,-0.07980483,0.055220235,-0.57054,0.104354896,-0.06224834,-0.2376739,0.4309292,0.18821022
11,negative,0.062265437,0.14791937,0.577506,0.14082772,-0.062146787,0.028596457,-0.12399898,-0.020724336,-0.12805958,0.34555775,-0.07984271,0.2895784,0.2072272,0.19218181,-0.21003944,-0.0023777182,-0.040294226,-0.09981745,-0.36371267,0.32146224,0.060554244,0.20761046,0.16207588,0.065903395,-0.09507442,-0.062391073,-0.15416981,-0.1917427,0.1882848,0.0763869,-0.22113597,0.31875786,-0.21593931,-0.37544224,0.069097824,0.033376202,0.0050091273,-0.09092493,0.070973694,0.033229407,-0.23342714,-0.31572878,0.1986397,-0.24053663,0.11164704,-0.28787586,0.20007214,-0.112845644,0.050514452,-0.5014117,0.31937075,0.0035284632,-0.03475327,0.9094889,-0.1947983,-1.9970036,0.15922856,-0.058069173,1.3798772,0.41492108,-0.15979226,0.70034486,-0.3175162,0.060260516,0.68347216,0.0057798126,0.17232998,0.20653488,0.07791796,0.04026233,-0.10191412,-0.3489917,-0.04150861,0.12287602,0.12040445,0.0034734854,-0.028164338,0.31071377,-0.6615144,0.07217344,0.75358444,-0.021154981,-0.3145048,-0.016111936,-1.3815227,-0.19272016,-0.2924261,0.07757494,-0.18652466,-0.3245227,0.02027167,-0.096611194,-0.21348473,0.10425829,-0.24056046,0.20237832,-0.24337055,-0.12402003,0.3487662,0.12260601
